Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2
,0.367147375,0.433707277,0.531368983,0.716859236,0.079975377,-0.322000231,0.187261005,0.392537245,0.14404637,0.073134705
Mcr,-0.912347075,-0.87522192,-0.206545211,-0.550528425,-1.115972628,-1.352252632,-0.386110075,-0.347031731,-0.817689082,-0.531135209
LanB1,-2.789960317,-2.901526541,-2.747487454,-2.23908928,-1.614226622,-1.954612949,-2.939648195,-2.827358878,-3.10680867,-3.115034859
,-2.035638337,-1.559579279,-2.079904917,-1.812992433,-1.756964674,-1.576776832,-1.985587572,-1.685431075,-1.95466887,-2.238068
l(1)G0193,-0.284581018,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.19063495,#VALUE!,-1.105380106,-1.130333862
Cha,#VALUE!,#VALUE!,-2.566100476,-2.355276146,#VALUE!,-1.181672961,-2.649185961,#VALUE!,-3.109047529,-2.956683495
,0.687508661,#VALUE!,-0.137949385,0.132642643,2.990464805,#VALUE!,-0.385205363,-0.109592221,-0.938071766,-0.798842934
levy,1.131852846,0.973501072,-0.21084669,0.200755432,1.097813029,0.759411533,-0.061751852,-0.07553521,-0.109483266,-0.165482936
tral,-0.779793887,-0.78799104,-0.455178337,-0.817892526,-0.824366822,-1.091386893,-0.314912044,-0.586059366,-0.977923419,-0.691452727
CG3967,-0.90836109,-0.674337278,-0.265847517,-0.350780043,-0.640771221,-0.484792181,-0.397676155,-0.24771383,-0.850506492,-0.729339502
CSN3,-0.29302306,-0.187740019,0.39429462,0.283566239,-0.563433026,-1.019199619,0.228849468,-0.113301591,0.077926579,0.20614307
Treh,-0.59629599,-0.503854705,-0.848271045,-0.869859865,-0.488612928,-0.750324089,-1.084456154,-0.924426296,-1.387185158,-1.248382034
futsch,-0.112880301,0.147046143,-0.16689132,-0.131423851,0.166201253,0.117429084,-0.301550353,-0.261534783,-0.851573449,-0.639714393
,-1.89485834,#VALUE!,#VALUE!,#VALUE!,-1.519362618,#VALUE!,#VALUE!,-1.761995831,-1.933132395,#VALUE!
Eaat1,-0.382889625,-0.331354374,0.146785541,-0.167377289,0.302757716,-0.059013919,0.047119549,-0.000548328,-0.466616065,-0.317822262
mgl,-2.169549949,-0.758135416,-0.888354337,2.52884633,-1.371347704,-1.743858883,0.995086479,0.835924074,-1.127651891,-1.666118341
,1.874678949,1.685760781,1.536948088,1.488257913,1.573519952,1.616969278,1.520296518,1.353662045,0.732659944,0.967832611
CG4893,0.353097411,0.136453909,0.604640696,0.718087584,0.286999397,-0.061691622,0.622461867,0.62349233,0.347665656,0.340960985
gish,-1.334607229,-0.958672898,-0.800927627,-1.132008677,-0.870571896,-0.884247587,-0.924289396,-1.148352888,-1.67038267,-1.151554325
CG13043-RA,1.354621415,1.077789889,2.115266347,2.226878404,#VALUE!,0.996027123,1.793021888,1.803888292,1.869397667,2.10000207
,-2.382099736,-2.148161027,-1.328398644,-1.405986589,-2.389413317,-1.693621089,-0.961788598,-1.310826102,-1.87784416,-1.568837065
,-0.036718248,0.004465437,0.175428791,-0.149088589,0.594166328,0.094100916,-0.373271185,-0.247234285,-0.69240827,-0.81114336
,-0.155887565,0.017351842,-0.271130401,-0.200630816,#VALUE!,#VALUE!,0.665392771,-0.969141326,-1.45818783,-0.999105806
,-0.617543012,-0.151522275,-0.061149663,-0.150785332,-0.600161729,-0.698716727,-0.070724072,1.167807495,-0.425462479,-0.135934725
SmD2,-0.196789499,-0.320648271,#VALUE!,0.028569152,-0.214859613,-0.759160595,-0.167361087,0.068326861,0.418567779,0.274052884
Gpo-1,-0.512637139,-0.363270987,-1.280720164,-1.221421334,-0.347765927,-0.635808602,-1.159234663,-1.114160157,-1.188627619,-1.161782369
Ank,-2.287430631,-2.294349367,-2.058112441,-2.601211852,-2.05703141,-2.10693296,-1.490091379,-2.196872178,-2.43354526,-2.514078619
,-0.615287038,-0.520831536,0.431141535,-0.257683287,-0.58454418,#VALUE!,-0.371553002,-0.382062133,-1.267044896,-1.40113937
Cdc42,-0.876068992,-0.696166658,0.103933991,-0.304718805,-0.274215225,-0.618295787,-0.21908523,-0.155228716,-0.71080294,-0.345124568
TpnC73F,-2.637288864,-2.934344975,0.203263813,0.392757034,-3.052775228,-3.254702422,0.91808087,0.959695979,0.571239931,0.832282436
,-0.34184794,-0.112630705,-1.170718702,-0.274721278,0.096531743,-0.032137885,-0.482331242,-0.514325875,-0.856632705,-0.450380111
CG5830-RA,-0.043541829,-0.666896901,-0.812561615,-0.622687422,-0.566420901,-0.997952826,0.240985904,0.443924858,-1.139617177,-2.150080781
ome,-0.0946491,-0.019331207,0.846633717,0.692873507,-0.034913918,-0.429770251,0.424492171,0.463413204,0.065296567,0.605778768
CG13364,0.117296086,0.017494379,0.631337144,#VALUE!,-0.704723663,-0.17577797,0.651499503,0.507008078,0.480265122,0.433386809
14-3-3zeta,0.346758372,0.546659906,0.057276965,0.09044698,0.206268125,0.294076649,0.024886999,0.070664101,-0.413076767,-0.4763979
,#VALUE!,2.199216892,0.857025515,1.154518402,#VALUE!,#VALUE!,0.725086725,0.692516471,0.621993232,1.00353028
Arp14D;Arp2,-0.798993534,-0.679781068,-0.299222953,-0.395454184,-0.712149498,-0.260255568,-0.225430086,0.116098552,-0.852458842,-0.097085174
Zasp52,-2.427401325,-2.347251951,-2.261465607,-1.752874544,-2.51144386,-2.467134497,-2.511032613,-2.200249538,-2.03889532,-2.520603859
,-0.105193875,0.292546188,0.142478791,0.015212085,0.2450088,0.252657864,0.003314389,0.156914315,-0.536335696,-0.511238222
AP-1-2beta,-2.264165922,-2.188233062,-1.820616346,-1.684827971,-1.71146425,-2.159653596,-1.808841664,-1.882464527,-2.406063053,-2.242703606
eys,-0.734899212,-0.691149882,-0.436744229,-0.567617786,-0.287324989,-0.564904848,-0.610785645,-0.626246009,-1.268399654,-1.129134247
Pmi,0.806860199,0.551885103,-0.141891655,-0.1912937,0.574149961,0.463517834,-0.209628303,-0.1306971,-0.810611873,-0.668638733
jdp,0.284395681,0.061015775,-0.054062747,-0.062324165,0.25761413,-0.083844415,0.03745251,-0.201725475,-0.552516017,-0.612438937
CG10641,0.551885103,0.236829335,0.937043014,1.115565996,-0.002917191,-0.126470251,0.954047379,0.679333711,0.234133396,0.695637548
,-2.468331589,-2.177490097,-1.55384966,-1.551141326,-2.569693314,-2.439950306,-1.694041149,-1.586579225,-1.455534397,-1.528323485
Rya-r44F,-2.144839493,-2.292227861,-2.191392538,-1.648462125,-1.76219157,-2.620157273,-1.964150907,-2.057151485,-2.321855962,-2.751853821
CG15173,0.300885149,0.872237774,1.097745622,0.805870243,0.603976406,#VALUE!,0.944858446,0.751892138,0.061983516,0.691534165
,0.828469107,1.025099687,0.3934162,0.732659944,0.986592967,0.923415441,0.073546061,1.081339627,0.01948843,0.572016513
Act42A,-1.238136062,-1.434675792,-0.585041851,-0.636660688,-1.648959723,-2.074243582,-0.811042109,-0.75389599,-0.770042991,-0.622309837
Capr,-1.105814736,-1.26239976,-0.263438417,-0.191030164,-1.12007471,-0.862496476,-0.197963989,-0.025485372,-0.381291488,-0.079051251
Rbcn-3A,-2.502668665,-1.998730987,-2.945304307,-2.444262361,-1.243523203,-1.701904797,-2.419352796,-1.722372252,-2.642053947,-2.990566828
Fas1,-0.117223935,0.229710962,-0.344721453,-0.413268878,0.964583463,0.368153711,-0.47252925,-0.15032093,-0.736100237,-0.8068717
,0.451857294,0.408820535,0.433707277,0.65434388,0.247076832,0.180529813,0.272739878,0.841409613,0.144568518,0.509341141
His1:CG33858;His1;His1:CG33807;His1:CG33834,0.410558198,0.395611249,0.523963346,0.706022122,0.483054736,0.226261894,0.571531198,0.564036662,0.201884743,-0.072634465
CaMKII,-1.849232382,-1.779967283,-1.299418239,-1.336391233,-1.432104143,-1.672036768,-1.442653633,-1.536963528,-1.910122243,-1.949254536
Nmdmc,-0.226560612,-0.22401396,0.299244658,0.10514166,-0.016074278,-0.411099512,-0.05539639,-0.271600541,-0.634128327,-0.401806327
G-oalpha47A,-1.653763575,-1.491023785,-1.372654645,-1.467812727,-0.940340155,-1.024267108,-1.218027665,-1.323407616,-1.91039338,-1.859823411
Argk,0.725086725,0.795351365,0.259664184,0.170181458,0.396707521,0.317072478,0.184216808,-0.082530053,-0.336154453,-0.156337684
Aats-trp,-0.202156933,-0.436295165,-0.018907244,0.124592825,-0.496773403,-0.599943049,-0.153462556,0.140909507,-0.340842648,-0.235280182
,#VALUE!,1.272739878,#VALUE!,-0.209111217,1.377401431,#VALUE!,2.431489247,#VALUE!,-1.132799359,#VALUE!
,1.683920981,1.730748629,0.854634043,1.015568932,1.300416628,1.269990634,0.946955387,0.731270148,0.883073348,0.707259728
Tcp-1eta,-3.288839926,-3.497298715,-2.059735507,-2.319909734,-3.602841056,-3.046325016,-1.687288364,-1.864543932,-1.942861696,-1.752923168
Lsp2,-2.310074689,-2.135871317,0.194465332,0.306378911,-2.260843174,-2.462992252,1.044394119,1.225028083,1.8172958,1.839637162
wupA,0.635429371,0.591487938,0.378178655,0.434134458,0.277151611,0.405774578,0.452173687,0.360645202,0.435735259,0.468531186
,-1.074243582,-1.175012247,-0.395568048,-0.317912177,-0.716884229,-1.300697129,-0.468531201,-0.644825826,-0.729148169,-0.931838263
,-0.355276146,-0.148432837,0.042644337,0.066399229,-0.018863393,-0.631131099,-0.119087266,-0.144983055,-0.343549394,-0.399787346
CHMP2B,0.625176957,0.568226722,0.563841479,0.336054824,#VALUE!,#VALUE!,0.367930141,0.15263774,-0.178746949,-0.018264228
Apoltp,-0.719376197,-1.561281323,-1.902173489,-1.276485124,-1.433194586,-1.992804499,-1.978349718,-0.805080864,-1.932085986,-1.560217311
CG1814-RA;CG1814-RB,-0.018278839,0.071488106,-0.545171356,-0.535561746,0.28166858,-0.005956182,-0.761115334,-0.618472968,-1.391077238,-1.363048309
pzg,-2.149568597,-2.434246866,-1.752728682,-2.109545525,-2.163138681,-2.766308238,-1.616657895,-2.092647816,-2.257666039,-1.963813197
,-2.250371343,-1.868911035,-1.573037552,-1.634061156,-2.415730159,-1.693574424,#VALUE!,-1.554993765,-1.645886408,#VALUE!
Cpr49Ac,-0.24280603,-0.439421986,1.058039361,1.085288675,0.020057652,-0.190338611,0.810566494,0.89227444,0.410123978,0.719752957
Pu,-1.788065773,-2.146116101,1.628073654,1.660974239,-2.256493649,-2.037354739,1.486096494,1.539481442,2.222495467,2.064331046
,-2.547088335,-2.184949283,-2.775268188,-3.160749845,-2.71520162,-2.835574119,-2.864386332,-2.799570979,-3.399471422,-3.240724834
brp,-0.808968035,-0.831126946,-0.920051921,-1.019872307,-0.668822206,-0.960777364,-1.128566356,-1.068211061,-1.640883696,-1.67479782
Map205,-2.013741989,-2.388204397,-1.247628185,-0.834621836,-2.319261575,-2.118225764,-1.066910859,-0.454861913,-1.104201053,-1.034012598
,2.274112538,2.08024833,-0.909715632,-0.873899366,2.39154778,2.32751492,-1.031061395,-1.036082038,-1.4263928,-1.438541882
l(2)01289,-2.532407491,-2.282438723,-1.69707855,-2.318181956,-2.297111998,-2.607528698,-1.262918995,-2.005666478,-1.843732837,-1.747681234
rump,-1.12337108,-1.011558888,-0.208744365,-0.064676042,-0.883102982,-1.163364856,-0.303400738,-0.098150321,-0.572222216,-0.28008937
ox,1.985026741,1.311096174,0.851679091,0.555718009,1.509442493,1.486353976,0.805127331,0.922045577,0.447208888,0.772814687
CG32103-RB;CG4392,0.15367565,0.067501049,-0.151618426,-0.291662652,0.680684423,0.044743821,-0.189844847,-0.587749593,-0.85864569,-0.638725722
BcDNA.GH02439;BcDNA:GH02439,-0.430178409,-0.234719869,-0.495735559,-0.41717427,0.084064265,-0.260739462,-0.531489667,-0.506332173,-0.96305364,-0.956067617
CG10737-RC,-1.597976423,-1.381122377,-0.890064483,-0.645592977,-1.137203474,-1.219505113,-1.296792963,-0.723419961,-0.978605558,-0.650408257
Unc-89,-2.956571498,-2.695442232,-2.55851652,-2.904008087,-3.150721267,-3.014732751,-2.881082177,-2.762387336,-3.008450037,-2.783588595
CG8500-RA,0.147957881,0.579952469,0.276794405,0.55885537,0.60046007,0.203514411,0.323312418,0.321235435,-0.272105678,0.033229161
Cdep,-1.025147677,#VALUE!,-1.414037577,#VALUE!,-0.125289579,-0.482835191,-1.010919138,#VALUE!,-1.491875639,-2.438150897
Su(P),-0.724587624,-0.593876987,-0.485317187,-0.708113588,-0.388412108,-0.882092225,-0.213219654,-0.494230993,-0.780661077,-0.375871024
,-0.299400484,-0.0932633,-0.500932262,-0.63641398,-0.006956106,-0.233990091,-0.510251567,-0.531072667,-1.055681261,-0.894080599
vari,-0.623265095,-0.419526448,0.115299644,0.025454096,-0.255236113,-0.911559852,-0.019448185,0.122341408,-0.497547184,-0.216400864
,-0.86604199,-0.734299074,-0.820616346,-0.921472139,-0.200929277,-0.45424904,-0.860294768,-0.843888197,-1.425578736,-1.460727019
rept,-1.03584538,-1.304897014,-0.604871376,-0.86862124,-0.872630853,-1.094156219,-0.188627619,-0.511916939,-1.138536863,-1.065642024
Mhc,-2.271600541,-2.079234137,-2.379770202,-2.452056689,-2.535331733,-2.413038348,-2.424068121,-2.386468347,-2.55368024,-2.603840511
CG6239,-1.958925272,-1.6085842,-0.975680321,-1.837119698,-1.613785012,-1.57595938,-1.768469285,-1.297856688,-1.407172245,-1.266663015
Arpc1,-0.504386695,-0.457831115,-0.086476736,#VALUE!,-0.880869625,#VALUE!,-0.131534475,-0.069451881,-0.579576886,-0.347674132
His2B,0.974162168,0.896233092,1.213938238,1.177790256,0.812375001,0.858299348,1.205204813,1.290011472,0.813770932,0.529870909
,1.81750047,1.663617874,0.666393032,0.752234781,1.596315008,1.356932568,0.813114191,0.763071577,0.46967763,0.632454358
pnut,-1.054901749,-0.798893132,-0.478527073,-0.487419121,-0.736893461,-1.133273977,-0.647670845,-0.441732366,-1.021716493,-0.808159449
fax,-1.024208423,-0.966968231,0.122473941,0.040401515,-0.780264583,-0.895529142,-0.035372181,0.012211084,-0.315917382,-0.24851914
Swim,-0.614845103,-0.508690742,-0.641896358,-0.819444727,0.203138497,-0.513852006,-0.854231259,-0.752096785,-1.792207079,-1.502954861
Galpha49B,-0.82219699,-0.601737201,-0.969508536,-0.929445802,-0.309913723,-0.6994428,-0.971544005,-1.050741493,-1.462197028,-1.228334117
,-0.407554923,-0.798541782,-0.369669088,-0.465938398,-0.036185588,-0.458465337,-0.693457766,-0.475575194,-1.220681438,-1.191161926
His4,0.936741574,0.821057079,1.036749476,1.12121438,1.085492642,0.755058478,1.033863452,1.058524312,0.729095908,0.506398832
,0.871528271,0.973941836,0.164013889,0.21673422,0.697151067,0.546956178,0.154323965,0.150429698,0.082702589,0.190172345
Obp44a,0.16774328,-0.335225919,1.307778227,1.423147853,-0.157399234,-0.580568978,1.265316867,1.210326517,1.700484108,1.65681668
His2A:CG33856;His2A,0.945457883,1.021479727,1.085628604,1.310572795,0.94732952,0.75890009,1.235788319,1.215740713,0.557483614,0.413485768
betaTub56D,-1.967870938,-1.805509453,-1.40801427,-1.385714194,-1.806821224,-1.819852139,-1.3386882,-1.406560172,-1.887526713,-1.901742158
NP15.6,1.515106871,1.527520795,1.033792989,1.08827731,1.540126488,0.775092694,1.177854025,0.797096008,1.180848029,0.503450509
,0.448900951,0.451962766,0.281193775,0.114233744,0.766467953,0.528071165,-0.052446047,0.172359498,-0.34963982,-0.358879444
Dek,0.013355059,0.070664101,0.353097411,0.340163443,0.413269114,0.137110008,0.261951979,0.425351877,0.066399229,0.00345832
,-0.164237581,-0.309502447,-0.222447726,-0.457969827,0.009777122,-0.351773876,-0.438072713,-0.220916818,-1.194790104,-0.585712897
,0.414243799,0.414135533,0.873813198,0.663390165,0.049073097,-0.10486803,0.761370386,0.674822184,0.5290713,0.704606413
P58IPK,1.751849302,0.489645688,0.447103068,0.301938767,0.982363898,0.003746139,0.640250721,0.3035762,0.096396804,0.454070583
,1.269093008,1.003170443,-0.221320416,-0.301230335,0.798423845,1.044883678,-0.445696032,-0.341774805,-1.075550412,-1.008275907
,0.911116306,0.612399683,1.159306255,1.281905924,0.486250989,0.080930488,1.084132315,1.071144827,0.818114304,0.709731759
SmD3,0.490980804,0.366699889,1.079019633,1.154907199,0.281431197,-0.024810062,1.03794443,1.292781749,0.832201406,0.828469107
CG8399,-0.530739153,-0.338834162,0.047119549,0.201508404,-0.042858016,-0.734659127,0.153027043,0.42050935,-0.170994796,-0.057631883
Tm1,1.078541524,1.415326009,0.553655402,0.343692069,0.951513196,0.767315799,0.673918183,0.477677328,0.829768393,0.73430859
Zn72D,-1.862601403,-2.190865478,#VALUE!,-1.142130445,-0.735067295,-0.556202416,-1.630885334,#VALUE!,-2.072482754,#VALUE!
betaTub97EF,-1.189910672,-1.217222421,-0.98693085,-1.035046947,-0.999076971,-1.203103273,-0.90865898,-1.181345737,-1.260704892,-1.338177447
Chc,1.195473592,-3.016949859,-3.333094375,-3.341581013,-3.423448839,-2.565929611,-2.654172186,-3.082774495,-3.62668254,-3.50025053
Pcmt,0.768078435,0.698307394,0.027154052,0.294311961,0.348345745,0.692873507,0.281549893,0.340277405,-0.087058943,-0.233226765
Rab39,-0.331753771,-0.251487243,0.155231116,0.062259894,#VALUE!,-0.416981638,0.066123642,#VALUE!,-0.087150892,0.273336847
Hsp68,-1.953159746,-1.995333224,-1.719043686,-1.311900229,-1.352142135,-1.654626335,-1.566997847,-1.333188882,-1.912238467,-1.231684383
AP-2sigma,-0.036496283,0.247198389,0.001009533,0.216113358,0.319617934,0.275722256,0.072860402,0.456701031,-0.176707158,0.050188223
flw,-1.944582196,-1.764542513,#VALUE!,-2.369370872,-1.379920381,#VALUE!,-1.852823573,#VALUE!,-2.791557655,#VALUE!
CG8891,0.162338958,-0.345821124,0.238542314,-0.334297983,-0.293411984,-0.998875137,-0.347949534,0.093019233,-0.566121835,-0.241151065
LamC,-0.061330293,-0.006028617,0.479127064,0.373286274,-0.162734883,-0.400625071,0.176322773,0.385375813,-0.046205839,0.048654702
,0.339479485,0.429856951,0.369159346,0.292310588,0.64487149,0.505179567,0.076148597,0.199499604,-0.322090407,-0.04739805
,0.507515586,0.901957773,0.439037963,0.032665112,1.029982866,0.482745045,-0.464544201,-0.414633601,-0.360767837,-0.327040677
Nca,0.239886801,0.742437445,0.438292852,0.595503661,1.002018361,0.469156632,0.335254565,-0.037724921,-0.169517498,-0.00753609
slgA,-1.18376895,-0.862837517,-1.190964287,-1.300483902,-0.636772843,-0.826156195,-1.332425734,-1.179220593,-1.827973401,-1.972789318
Snap,-0.244804756,-0.365555423,-0.437877271,-0.583830429,-0.076097809,-0.394543595,-0.565353093,-0.570807199,-1.222161609,-1.259150134
CG34439-RA,2.148966634,2.046106849,1.286348908,1.109026176,1.855032897,#VALUE!,1.08106688,0.915329676,0.935836874,0.87034499
Arc1;CR10102,-0.221909199,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.127273661,-2.19759996,-3.005318911
kcc,-0.663693758,-0.465460235,-0.422655772,-0.6126154,0.016353684,-0.182360372,-0.610234969,-0.563731535,-1.128471729,-1.112630705
TotA,1.62849366,1.242450074,1.902883963,1.868212636,1.839314663,1.451646328,2.048026882,1.81925943,0.114100452,0.198116929
Vps13,-1.835986111,-1.751853821,-1.142639995,-1.909851156,-1.881932697,-2.188693389,-0.255959493,-1.357788265,-2.180299121,-2.084119665
Scox,0.011209361,-0.246840492,-0.483863793,-0.434578298,-0.352786817,-0.540127771,-0.642504297,-0.481807321,-1.216484675,-1.153960073
Strn-Mlck,-1.934400117,-1.756525891,-2.519197199,-2.662003536,-1.948140701,-2.081674833,-2.528822947,-2.362009598,-2.390471954,-2.606561833
l(2)k09913,-0.10139692,-0.0004906,0.196103398,0.217975141,0.148869044,0.008630305,-0.000707094,0.192446694,0.203138497,0.291132012
Eps-15,-0.486549681,-0.321801865,-0.361805654,-0.546287529,-0.322379008,-0.405929243,-0.499259123,-0.407267905,-1.149824666,-1.15904135
,0.538041453,0.619741659,-0.056641237,-0.270834465,0.612022163,0.45143533,-0.042753986,-0.229500751,-0.49978942,-0.435495007
Prosbeta5,-0.56783162,-0.974035707,0.231678162,0.050327554,-0.596688643,-0.99844273,0.142740172,0.339251427,-0.052416125,0.302289802
prc,1.049421666,0.76256143,1.304277388,#VALUE!,#VALUE!,#VALUE!,0.755913054,#VALUE!,0.729792022,0.64791311
igl,0.687150294,0.353549136,0.362778454,0.497126915,0.504772916,0.599413018,0.453438561,0.39429462,-0.116035167,-0.121816139
ste24a,-0.71063766,-0.388336573,-0.324545352,-0.085267108,-0.41757888,-0.41228938,-0.44789841,1.127501219,-0.371907676,-0.2844053
mtd,-1.559579279,-1.267461609,-1.090649304,-1.411963028,-1.080118413,-1.114816134,-1.516676919,-1.600205468,-2.115597447,-1.943360984
CG6327-RA,-0.780215029,-0.383585839,-0.423081266,-1.256493649,-0.995707162,#VALUE!,-1.174751668,-0.913379259,-1.449690321,-1.217457237
Fas1,0.060462488,0.14834845,-0.127620368,-0.183457634,0.595408178,0.277032552,-0.199371326,-0.126879777,-0.761115334,-0.70809002
Pax,-1.982676667,-1.897113474,-1.738601576,-1.379657578,-1.88677959,-2.33068291,-1.583289944,-1.639175034,-1.86533219,-1.573724509
,-1.769551024,-2.552664138,-2.367210647,-2.065944027,-2.1634618,-2.85235465,-2.742168667,-2.734563104,-2.259530031,-1.871759398
gammaSnap,-0.508239239,-0.593615716,-0.516615,-0.707548047,-0.351865932,-0.451977747,-0.69103342,-0.547847404,-1.051249658,-0.978264448
CG31345-RA,2.294429602,1.952631767,0.965174762,0.99667798,2.023255352,1.896271849,0.723252735,0.928275562,0.39462389,0.345169251
CG5758-RC,1.752620156,1.334167789,0.992188336,0.946356572,1.105007525,0.648557478,0.817132044,0.431462503,0.288653864,0.520246223
,0.070664101,0.302523778,-0.199073187,0.01592569,0.109561152,0.452595435,-0.264633798,-0.017825972,-0.502382525,-0.532261435
LanA,-2.476578557,-2.207960948,-1.836346702,-1.885872889,-2.45450602,-2.227624453,-2.187772883,-1.910773058,-2.465699297,-1.987417025
vps2,0.878372225,0.666302128,1.032171389,0.991172609,1.793646224,0.685446835,0.906659746,0.688225127,0.320542442,0.731270148
,-0.032373935,-0.2813337,0.188780698,0.218099174,0.002450499,-0.447288487,-0.086415464,0.026304324,-0.245865033,-0.094433444
CG11005,-0.533722667,-0.435631588,-0.365852851,-0.521079952,-0.458227471,-0.647942092,-0.533492946,-0.264755124,-0.837222796,-0.551289307
Atpalpha,-2.182720575,-1.952880451,-2.053912976,-2.213370185,-1.669005702,-1.844509802,-2.244206556,-2.152067215,-2.70256204,-2.830741998
p38b,-0.756842777,-0.875301312,-0.587684547,-0.587966432,-0.631734517,-0.860373343,-0.762974793,-0.606627735,-0.519135172,-0.683135986
,-0.248707681,-0.55245254,2.088005871,1.847235283,-0.641558725,-0.630617275,2.528646327,2.588228909,3.07688399,3.007931017
,-1.246121669,-1.252157197,-0.23122707,-0.13227746,-1.254117311,-1.411963028,-0.215596528,-0.184883684,-0.595838029,-0.573359522
Ggamma1,-0.035653125,0.574731263,0.272381578,0.43839932,0.532865503,0.504569548,0.195725548,0.293135019,-0.104433684,-0.094479653
Tapdelta,-0.447504882,-0.67915722,-0.059104097,0.39176772,-0.529385048,-0.608056352,0.258096758,0.31103803,0.689746438,0.775176996
sls,-2.892821013,-2.379469891,-2.242635328,-2.574411793,-3.181542063,-2.051458955,-2.289756706,-2.103518884,-2.861447625,-2.465858693
BcDNA.GH05536,1.830782647,1.528571319,1.023326332,0.818768773,1.025028794,1.272918995,0.824971465,0.874128077,0.9395275,0.903578215
Arr1,-1.626557803,-1.193964717,-1.787816677,-1.894697393,-1.037354739,-1.161685539,-1.758672323,-1.785079444,-2.256493649,-2.091171724
stnB,-1.411771091,-1.331808243,-1.394676353,-1.629099212,-1.113005115,-1.153253971,-1.416115114,-1.388393224,-1.995563328,-1.987016634
IA-2,-0.484973892,-0.621754745,-0.528760505,-0.490861584,0.09963185,-0.454347873,-1.098845406,-0.97066727,-1.179645371,-1.433934999
,0.454597057,0.568810415,0.804797025,0.808426241,0.886042823,0.558953302,0.920217066,0.830255324,0.437014622,0.414568547
mRpL30,-1.052176773,-0.906818463,0.201633861,0.249506021,-0.912129867,-1.115878823,0.012497163,0.683382058,0.554637964,0.851119364
Tm2,1.421425296,1.323658291,0.446785562,0.442545456,1.162790092,0.978854578,1.048933645,0.478091687,0.441164734,0.225891862
,-1.792257047,-1.986730708,-0.841585411,-0.839234671,-1.872604438,-2.042813431,-0.583160258,-0.487742768,-0.924672749,-0.622642995
Khc,-2.825414614,-2.542794471,-1.985987566,-1.976134338,-2.605068859,-2.986101871,-1.590918682,-2.103890936,-2.428798909,-2.276415228
dj-1beta,0.27369491,0.165043649,-0.338852409,-0.40833973,0.209141398,-0.042204238,-0.192381295,-0.326642582,-0.534432942,-0.538282865
ImpL3,-1.045788797,-1.010279671,-0.609640474,-0.646541198,-0.852484891,-1.513295923,-0.677379578,-0.4249007,-0.727976811,-0.16564475
n-syb,1.382556591,1.371893362,0.829930722,1.061154063,1.774460275,1.044184258,1.006836577,0.90126274,0.335597588,0.447843644
chp,-2.640703741,-2.339345148,-2.446069413,-2.408358877,-2.124440092,-2.374448949,-2.36238048,-2.317246939,-2.714822711,-2.742941092
scf,-0.084746821,-0.354777936,0.561985922,0.597221268,-0.204681887,-0.495084743,0.434027675,0.592732095,0.036890111,0.332851122
Rab10,-1.195351638,-0.684178756,-0.258632253,-0.718236478,-0.829895474,-0.824366822,-0.805206906,-0.549366741,-1.031975623,-0.842257755
Droj2,-2.091356153,-1.873661435,-1.216618783,-1.272854998,-2.079112211,-1.933848797,-1.346921634,-1.250439989,-1.540064838,-1.53474641
smt3,0.319155458,0.586500555,0.808179084,1.058939855,0.322966462,0.187641078,1.06550338,0.898479256,0.643209718,0.736907885
robl,0.958582874,0.511771626,1.068670811,1.116564378,0.76655276,0.326077085,0.991680562,0.634035597,0.765449879,1.107353098
Snx6,-0.892338909,-0.846013123,-0.300554974,-0.288980931,-0.72876558,-1.130239119,-0.534955427,-0.485660563,-1.001212373,-0.793081765
uzip,0.771463058,0.95925084,1.067638717,1.333022929,1.06942721,0.813032078,1.264596479,1.296428039,0.847596102,1.013212111
mt:ND5,-0.610367112,-0.647964698,-0.932443883,-0.97219483,-0.192232938,-0.649299093,-0.683251812,-0.882996553,-1.05178791,-1.108020954
Ank2,-0.975907311,-0.868911035,-0.723443782,-0.626112403,-0.841352749,-0.686405853,-0.890305135,-0.761824581,-1.437056703,-1.13049178
fbl,#VALUE!,#VALUE!,1.567058626,#VALUE!,#VALUE!,0.127104965,0.600269754,-0.916153517,0.210513552,-0.181934793
Tm1,1.153999844,0.71114245,0.670568446,0.621149304,0.698663,0.492622329,0.637285644,0.575409153,0.61786266,0.569393872
prom,-0.802839148,-0.667927995,-0.501892132,-0.422907185,-0.148848645,-0.731733302,-0.563518308,-0.474773006,-0.968689505,-1.016190991
Syx1A,0.399116393,0.438931542,0.374288339,0.422125333,0.749662978,0.852078763,0.283803271,0.290542363,-0.152019123,-0.182000258
,1.104605043,0.945233123,0.266876472,0.498250868,0.832525498,0.803061675,0.327342456,0.30987466,0.294311961,0.321466359
,-1.272854998,-0.986473423,-1.124974896,-1.308251457,-0.649683808,#VALUE!,-1.258011041,-1.03513564,-1.451464733,-1.275856179
